t,top1_Capital,p_top1_Capital,top1_Continent,p_top1_Continent,top1_Currency,p_top1_Currency,top1_Language,p_top1_Language,top1_Type,p_top1_Type
0.52,' Berlin',0.7033,' Europe',0.8652,' euro',0.4064,' German',0.9439,' country',0.8009
0.53,' Berlin',0.7123,' Europe',0.8647,' euro',0.4038,' German',0.9411,' country',0.7972
0.54,' Berlin',0.7193,' Europe',0.8640,' euro',0.4008,' German',0.9380,' country',0.7946
0.55,' Berlin',0.7248,' Europe',0.8633,' euro',0.3979,' German',0.9350,' country',0.7929
0.56,' Berlin',0.7291,' Europe',0.8627,' euro',0.3954,' German',0.9321,' country',0.7920
0.57,' Berlin',0.7325,' Europe',0.8621,' euro',0.3932,' German',0.9293,' country',0.7916
0.58,' Berlin',0.7351,' Europe',0.8617,' euro',0.3915,' German',0.9268,' country',0.7916
0.59,' Berlin',0.7372,' Europe',0.8613,' euro',0.3900,' German',0.9245,' country',0.7919
0.60,' Berlin',0.7389,' Europe',0.8609,' euro',0.3888,' German',0.9223,' country',0.7925
0.61,' Berlin',0.7402,' Europe',0.8607,' euro',0.3879,' German',0.9204,' country',0.7933
0.62,' Berlin',0.7412,' Europe',0.8605,' euro',0.3873,' German',0.9186,' country',0.7942
0.63,' Berlin',0.7420,' Europe',0.8603,' euro',0.3868,' German',0.9169,' country',0.7952
0.64,' Berlin',0.7426,' Europe',0.8602,' euro',0.3864,' German',0.9154,' country',0.7962
0.65,' Berlin',0.7431,' Europe',0.8602,' euro',0.3862,' German',0.9139,' country',0.7972
0.66,' Berlin',0.7435,' Europe',0.8601,' euro',0.3861,' German',0.9126,' country',0.7983
0.67,' Berlin',0.7438,' Europe',0.8601,' euro',0.3861,' German',0.9114,' country',0.7994
0.68,' Berlin',0.7440,' Europe',0.8601,' euro',0.3862,' German',0.9102,' country',0.8005
0.69,' Berlin',0.7441,' Europe',0.8602,' euro',0.3863,' German',0.9091,' country',0.8016
0.70,' Berlin',0.7442,' Europe',0.8602,' euro',0.3864,' German',0.9081,' country',0.8026
0.71,' Berlin',0.7443,' Europe',0.8603,' euro',0.3866,' German',0.9071,' country',0.8036
0.72,' Berlin',0.7443,' Europe',0.8604,' euro',0.3868,' German',0.9062,' country',0.8046
0.73,' Berlin',0.7443,' Europe',0.8605,' euro',0.3870,' German',0.9053,' country',0.8056
0.74,' Berlin',0.7442,' Europe',0.8606,' euro',0.3872,' German',0.9045,' country',0.8066
0.75,' Berlin',0.7442,' Europe',0.8607,' euro',0.3875,' German',0.9037,' country',0.8075
0.76,' Berlin',0.7441,' Europe',0.8608,' euro',0.3877,' German',0.9029,' country',0.8084
0.77,' Berlin',0.7441,' Europe',0.8609,' euro',0.3879,' German',0.9022,' country',0.8092
0.78,' Berlin',0.7440,' Europe',0.8610,' euro',0.3881,' German',0.9015,' country',0.8101
0.79,' Berlin',0.7439,' Europe',0.8611,' euro',0.3883,' German',0.9009,' country',0.8109
0.80,' Berlin',0.7438,' Europe',0.8613,' euro',0.3885,' German',0.9002,' country',0.8117
0.81,' Berlin',0.7437,' Europe',0.8614,' euro',0.3886,' German',0.8996,' country',0.8124
0.82,' Berlin',0.7437,' Europe',0.8615,' euro',0.3888,' German',0.8990,' country',0.8131
0.83,' Berlin',0.7436,' Europe',0.8616,' euro',0.3889,' German',0.8984,' country',0.8138
0.84,' Berlin',0.7435,' Europe',0.8617,' euro',0.3890,' German',0.8979,' country',0.8145
0.85,' Berlin',0.7435,' Europe',0.8618,' euro',0.3890,' German',0.8973,' country',0.8152
0.86,' Berlin',0.7434,' Europe',0.8620,' euro',0.3891,' German',0.8968,' country',0.8158
0.87,' Berlin',0.7433,' Europe',0.8621,' euro',0.3891,' German',0.8963,' country',0.8164
0.88,' Berlin',0.7433,' Europe',0.8622,' euro',0.3892,' German',0.8958,' country',0.8170
0.89,' Berlin',0.7433,' Europe',0.8623,' euro',0.3892,' German',0.8953,' country',0.8176
0.90,' Berlin',0.7432,' Europe',0.8623,' euro',0.3891,' German',0.8949,' country',0.8181
0.91,' Berlin',0.7432,' Europe',0.8624,' euro',0.3891,' German',0.8944,' country',0.8186
0.92,' Berlin',0.7432,' Europe',0.8625,' euro',0.3890,' German',0.8940,' country',0.8192
0.93,' Berlin',0.7432,' Europe',0.8626,' euro',0.3889,' German',0.8936,' country',0.8197
0.94,' Berlin',0.7432,' Europe',0.8626,' euro',0.3889,' German',0.8931,' country',0.8201
0.95,' Berlin',0.7432,' Europe',0.8627,' euro',0.3887,' German',0.8927,' country',0.8206
0.96,' Berlin',0.7432,' Europe',0.8628,' euro',0.3886,' German',0.8923,' country',0.8211
0.97,' Berlin',0.7432,' Europe',0.8628,' euro',0.3885,' German',0.8919,' country',0.8215
0.98,' Berlin',0.7432,' Europe',0.8628,' euro',0.3883,' German',0.8915,' country',0.8220
0.99,' Berlin',0.7432,' Europe',0.8629,' euro',0.3881,' German',0.8912,' country',0.8224
1.00,' Berlin',0.7432,' Europe',0.8629,' euro',0.3879,' German',0.8908,' country',0.8228
